,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
380,georgetown,5.41,100.34,77.0,88,40,1.12,MY,1599946878
381,cidreira,-30.18,-50.21,61.74,95,100,8.57,BR,1599946907
382,ust-tsilma,65.44,52.15,45.77,91,100,5.59,RU,1599946930
383,qurbus,36.82,10.57,73.4,69,40,6.93,TN,1599946972
384,shubarkuduk,49.14,56.49,62.15,41,100,8.93,KZ,1599946972
385,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
386,saint-philippe,-21.36,55.77,66.2,68,35,5.82,RE,1599946606
387,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
388,ribeira grande,38.52,-28.7,73.4,73,20,1.12,PT,1599946602
389,jablah,35.36,35.93,77.0,78,20,4.7,SY,1599946973
390,atar,20.52,-13.05,89.33,33,95,6.91,MR,1599946973
391,asotthalom,46.2,19.78,69.01,59,0,3.51,HU,1599946974
392,arraial do cabo,-22.97,-42.03,78.8,65,0,17.22,BR,1599946648
393,umm kaddadah,13.6,26.69,87.21,45,1,6.93,SD,1599946630
394,hermanus,-34.42,19.23,59.0,89,43,8.79,ZA,1599946899
395,lethem,3.38,-59.8,84.83,64,87,2.06,GY,1599946974
396,hamilton,39.18,-84.53,87.01,69,1,5.82,US,1599946584
397,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
398,torbay,47.67,-52.73,57.0,54,20,16.11,CA,1599946524
399,neuquen,-38.95,-68.06,64.4,20,13,13.87,AR,1599946649
400,arraial do cabo,-22.97,-42.03,78.8,65,0,17.22,BR,1599946648
401,inongo,-1.95,18.27,71.06,81,6,5.97,CD,1599946957
402,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
403,panjab,34.39,67.02,40.96,62,0,3.65,AF,1599946958
404,codrington,-38.27,141.97,47.91,88,34,7.65,AU,1599946953
405,sao sebastiao,-23.76,-45.41,77.92,57,0,5.59,BR,1599946976
406,hirna,9.22,41.1,61.74,85,100,7.47,ET,1599946976
407,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
408,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
409,mumbwa,-14.98,27.06,60.44,57,0,5.55,ZM,1599946977
410,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
411,georgetown,5.41,100.34,77.0,88,40,1.12,MY,1599946878
412,sorochinsk,52.43,53.16,49.89,89,5,5.26,RU,1599946977
413,jizan,17.33,42.67,89.6,75,0,3.36,SA,1599946978
414,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
415,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
416,port alfred,-33.59,26.89,69.57,52,95,10.16,ZA,1599946594
417,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
418,bonfim,3.08,-59.95,84.97,61,72,1.81,BR,1599946978
419,san joaquin,10.26,-67.79,79.92,75,70,4.45,VE,1599946979
420,quelimane,-17.88,36.89,73.4,83,20,2.24,MZ,1599946600
421,lahij,13.17,44.58,91.04,43,82,3.0,YE,1599946979
422,puerto maldonado,-12.6,-69.18,91.78,38,44,1.1,PE,1599946980
423,iqaluit,63.75,-68.51,41.0,75,75,3.36,CA,1599946980
424,benicarlo,40.42,0.43,69.01,72,0,6.08,ES,1599946898
425,adrar,20.5,-10.07,94.1,27,39,13.47,MR,1599946906
426,mogadishu,2.04,45.34,78.03,83,100,19.75,SO,1599946889
427,nara,34.69,135.8,82.99,94,75,2.24,JP,1599946981
428,ushuaia,-54.8,-68.3,44.6,65,40,1.14,AR,1599946501
429,khor,47.89,134.95,51.12,86,100,6.69,RU,1599946981
430,bria,6.54,21.99,69.87,94,100,1.54,CF,1599946981
431,bredasdorp,-34.53,20.04,59.0,82,25,9.17,ZA,1599946636
432,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
433,acarau,-2.89,-40.12,78.17,75,100,17.76,BR,1599946982
434,araguaina,-7.19,-48.21,86.09,20,13,1.66,BR,1599946982
435,nguru,12.88,10.45,85.98,49,77,11.79,NG,1599946584
436,buzmeyin,38.05,58.21,68.0,45,0,2.24,TM,1599946982
437,bredasdorp,-34.53,20.04,59.0,82,25,9.17,ZA,1599946636
438,rincon,32.3,-81.24,89.6,55,75,14.99,US,1599946983
439,tessalit,20.2,1.01,95.09,12,0,7.09,ML,1599946622
440,tiznit,29.58,-9.5,69.93,70,100,3.18,MA,1599946624
441,zapolyarnyy,69.42,30.81,44.6,87,83,13.87,RU,1599946983
442,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
443,aksarayskiy,46.79,48.01,66.2,55,0,6.71,RU,1599946983
444,takoradi,4.88,-1.76,75.31,89,0,8.3,GH,1599946984
445,cumana,10.46,-64.18,83.19,76,99,5.93,VE,1599946984
446,goure,13.98,10.27,89.55,28,39,10.29,NE,1599946540
447,ilinskiy,55.62,38.12,54.0,76,60,2.24,RU,1599946984
448,saint george,37.1,-113.58,91.99,9,1,3.24,US,1599946605
449,hit,33.64,42.83,90.82,12,0,9.13,IQ,1599946985
450,lagoa,39.05,-27.98,71.02,71,1,3.83,PT,1599946565
451,marfino,55.7,37.38,54.0,81,32,8.95,RU,1599946985
452,mitsamiouli,-11.38,43.28,77.56,77,0,4.97,KM,1599946577
453,san ramon,37.78,-121.98,91.99,19,90,9.17,US,1599946814
454,wanlaweyn,2.62,44.89,77.45,76,100,17.6,SO,1599946986
455,arraial do cabo,-22.97,-42.03,78.8,65,0,17.22,BR,1599946648
456,hermanus,-34.42,19.23,59.0,89,43,8.79,ZA,1599946899
457,saint anthony,45.02,-93.22,64.4,72,90,8.05,US,1599946604
458,necochea,-38.55,-58.74,59.0,48,0,15.01,AR,1599946384
459,arraial do cabo,-22.97,-42.03,78.8,65,0,17.22,BR,1599946648
460,lagoa,39.05,-27.98,71.02,71,1,3.83,PT,1599946565
461,kiruna,67.86,20.23,37.4,86,88,3.36,SE,1599946987
462,visnes,59.36,5.22,55.4,71,38,21.92,NO,1599946987
463,saint-philippe,-21.36,55.77,66.2,68,35,5.82,RE,1599946606
464,gobabis,-22.45,18.97,60.76,29,0,14.27,NA,1599946988
465,macroom,51.9,-8.95,61.0,87,75,19.46,IE,1599946988
466,faya,18.39,42.45,71.6,16,1,5.26,SA,1599946988
467,riyadh,24.69,46.72,91.4,14,0,8.05,SA,1599946768
468,port alfred,-33.59,26.89,69.57,52,95,10.16,ZA,1599946594
469,caxito,-8.58,13.66,71.6,94,20,9.17,AO,1599946989
470,liverpool,53.41,-2.98,60.8,67,20,14.99,GB,1599946741
471,gambela,8.25,34.58,71.15,79,97,3.33,ET,1599946989
472,muros,42.78,-9.06,75.0,73,57,1.01,ES,1599946916
473,hermanus,-34.42,19.23,59.0,89,43,8.79,ZA,1599946899
474,veliki preslav,43.17,26.82,62.26,87,0,1.12,BG,1599946990
475,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
476,horki,54.29,30.98,50.61,88,2,9.4,BY,1599946990
477,touros,-5.2,-35.46,77.0,73,20,16.11,BR,1599946625
478,saldanha,-33.01,17.94,62.6,82,99,5.82,ZA,1599946479
479,itarema,-2.92,-39.92,78.17,75,100,16.96,BR,1599946931
480,klaksvik,62.23,-6.59,46.4,93,92,2.24,FO,1599946933
481,saint-philippe,-21.36,55.77,66.2,68,35,5.82,RE,1599946606
482,road town,18.42,-64.62,82.99,82,24,5.99,VG,1599946964
483,sapucaia,-29.83,-51.15,64.0,100,90,8.05,BR,1599946992
484,chuy,-33.7,-53.46,49.55,79,54,6.26,UY,1599946644
485,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
486,lethem,3.38,-59.8,84.83,64,87,2.06,GY,1599946974
487,caravelas,-17.71,-39.25,72.84,80,0,7.52,BR,1599946936
488,llandrindod wells,52.24,-3.38,55.99,88,86,1.01,GB,1599946992
489,ponta do sol,32.67,-17.1,69.8,88,40,3.4,PT,1599946594
490,fochville,-26.49,27.49,57.99,47,0,13.94,ZA,1599946993
491,ribeira grande,38.52,-28.7,73.4,73,20,1.12,PT,1599946602
492,ortakoy,38.74,34.04,64.4,77,40,4.7,TR,1599946993
493,sehithwa,-20.47,22.72,64.36,29,0,7.23,BW,1599946993
494,eyl,7.98,49.82,80.37,70,100,17.76,SO,1599946994
495,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
496,severodvinsk,64.56,39.83,50.0,93,90,6.71,RU,1599946994
497,codrington,-38.27,141.97,47.91,88,34,7.65,AU,1599946953
498,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
499,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
500,mahebourg,-20.41,57.7,69.8,88,20,4.7,MU,1599946946
501,torbay,47.67,-52.73,57.0,54,20,16.11,CA,1599946524
502,vestmannaeyjar,63.44,-20.27,49.12,75,100,14.65,IS,1599946633
503,bouca,6.51,18.27,70.38,95,98,2.48,CF,1599946996
504,victoria,22.29,114.16,80.6,83,40,3.36,HK,1599946562
505,loding,67.3,14.75,48.0,87,40,8.05,NO,1599946996
506,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
507,souillac,-20.52,57.52,69.8,88,20,4.7,MU,1599946617
508,andover,51.21,-1.48,59.0,93,59,4.7,GB,1599946794
509,babynino,54.39,35.73,41.0,100,58,2.24,RU,1599946997
510,ciudad real,39.0,-4.0,79.0,36,59,9.31,ES,1599946997
511,mahebourg,-20.41,57.7,69.8,88,20,4.7,MU,1599946946
512,ushuaia,-54.8,-68.3,44.6,65,40,1.14,AR,1599946501
513,saint-pierre,-21.34,55.48,66.2,68,5,5.82,RE,1599946606
514,tucurui,-3.77,-49.67,85.33,51,50,1.59,BR,1599946998
515,beloha,-25.17,45.05,68.41,82,17,14.03,MG,1599946959
516,camacha,33.08,-16.33,71.6,73,40,1.12,PT,1599946521
517,gumrak,48.78,44.38,53.6,58,0,8.95,RU,1599946998
518,nanortalik,60.14,-45.24,38.82,73,2,3.18,GL,1599946582
519,porbandar,21.64,69.61,81.66,82,63,9.57,IN,1599946999
520,awbari,26.59,12.78,88.41,16,0,15.59,LY,1599946511
521,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
522,namibe,-15.2,12.15,65.5,84,62,12.08,AO,1599946582
523,olafsvik,64.89,-23.71,43.36,77,100,22.79,IS,1599946588
524,konosha,60.97,40.26,49.98,90,100,9.08,RU,1599947000
525,mitsamiouli,-11.38,43.28,77.56,77,0,4.97,KM,1599946577
526,muros,42.78,-9.06,75.0,73,57,1.01,ES,1599946916
527,adre,13.47,22.2,73.71,78,100,7.09,TD,1599946958
528,gambela,8.25,34.58,71.15,79,97,3.33,ET,1599946989
529,mpika,-11.83,31.45,61.93,65,8,10.98,ZM,1599947000
530,aswan,24.09,32.91,88.21,19,0,7.67,EG,1599947001
531,adrar,20.5,-10.07,94.1,27,39,13.47,MR,1599946906
532,hofn,64.25,-15.21,46.51,63,35,11.63,IS,1599946961
533,mahebourg,-20.41,57.7,69.8,88,20,4.7,MU,1599946946
534,lamu,-2.27,40.9,78.8,83,75,8.05,KE,1599946565
535,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
536,llanes,43.42,-4.75,70.0,80,0,10.29,ES,1599947001
537,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
538,saldanha,-33.01,17.94,62.6,82,99,5.82,ZA,1599946479
539,garowe,8.41,48.48,83.12,51,98,8.57,SO,1599947002
540,saint-philippe,-21.36,55.77,66.2,68,35,5.82,RE,1599946606
541,kangaatsiaq,68.31,-53.46,36.54,81,10,8.75,GL,1599946552
542,bereda,43.27,-7.54,64.99,100,29,3.0,ES,1599946897
543,ushuaia,-54.8,-68.3,44.6,65,40,1.14,AR,1599946501
544,paamiut,61.99,-49.67,38.59,74,11,6.89,GL,1599946925
545,ushuaia,-54.8,-68.3,44.6,65,40,1.14,AR,1599946501
546,springbok,-29.66,17.89,51.76,87,30,7.45,ZA,1599947003
547,sorland,67.67,12.69,51.85,74,45,26.84,NO,1599946616
548,port-cartier,50.03,-66.87,55.99,66,40,9.17,CA,1599947004
549,pleshanovo,52.83,53.48,48.43,90,1,4.81,RU,1599947004
550,arraial do cabo,-22.97,-42.03,78.8,65,0,17.22,BR,1599946648
551,salinopolis,-0.61,-47.36,80.64,81,58,13.91,BR,1599947004
552,sol-iletsk,51.16,54.99,53.17,76,73,7.56,RU,1599947005
553,east london,-33.02,27.91,76.86,32,3,13.62,ZA,1599946952
554,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
555,wanlaweyn,2.62,44.89,77.45,76,100,17.6,SO,1599946986
556,ikalamavony,-21.15,46.58,62.44,76,9,6.38,MG,1599947005
557,los llanos de aridane,28.66,-17.92,75.2,78,90,2.24,ES,1599946637
558,dakar,14.69,-17.44,78.8,88,20,3.36,SN,1599946968
559,ushuaia,-54.8,-68.3,44.6,65,40,1.14,AR,1599946501
560,grong,64.47,12.31,43.21,85,78,6.17,NO,1599947006
561,nanortalik,60.14,-45.24,38.82,73,2,3.18,GL,1599946582
562,bonthe,7.53,-12.51,76.24,92,95,5.55,SL,1599946518
563,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
564,luena,-11.78,19.92,63.46,30,29,5.21,AO,1599947007
565,nkoteng,4.52,12.03,68.16,97,99,4.43,CM,1599947007
